ordernumber;mainnumber;name;supplier;tax;price_EK;pseudoprice_EK;baseprice_EK;from_EK;to_EK;price_H;pseudoprice_H;baseprice_H;from_H;to_H;active;categories
G10055;G10055;Amino Suppen Pomidorowa 64g x 24St.;Amino;5,00;8,28;0;;1;beliebig;;;;;;1;52
G10056;G10056;Amino Suppen Rosol z kuru 60g x 24St.;Amino;5,00;8,28;0;;1;beliebig;;;;;;1;52
G10057;G10057;Amino Suppen Rosol z kuru pikantny 60g x 24St.;Amino;5,00;8,28;0;;1;beliebig;;;;;;1;52
G10058;G10058;Amino Suppen Rosol Zlocisty 60g x 24St.;Amino;5,00;8,28;0;;1;beliebig;;;;;;1;52
G10059;G10059;Amino Suppen Warzywna 58g x 24St.;Amino;5,00;8,28;0;;1;beliebig;;;;;;1;52
G10060;G10060;Amino Warzywna 58 gr x 24 st;Amino;5,00;8,28;0;;1;beliebig;;;;;;1;52
G10061;G10061;Amino Warzywny 60g x 24stk;Amino;5,00;8,28;0;;1;beliebig;;;;;;1;52
G10062;G10062;Amino Zurek 60 gr x 22 st;Amino;5,00;8,28;0;;1;beliebig;;;;;;1;52
G10063;G10063;Apfel 13  kg  kiste;Eigenmarke;5,00;16,77;0;;1;beliebig;;;;;;1;52
G10064;G10064;Apfel Alwa 13 kg;Eigenmarke;5,00;16,77;0;;1;beliebig;;;;;;1;51
G10065;G10065;Apfel Antonowka 15 kg kiste;Eigenmarke;5,00;16,77;0;;1;beliebig;;;;;;1;28
G10066;G10066;Apfel Delikates 13 kg;Eigenmarke;5,00;16,77;0;;1;beliebig;;;;;;1;28
G10067;G10067;Apfel GALA 13 kg kiste;Eigenmarke;5,00;16,77;0;;1;beliebig;;;;;;1;28
G10068;G10068;Apfel Kortland  13 kg;Eigenmarke;5,00;16,77;0;;1;beliebig;;;;;;1;28
G10069;G10069;Apfel Ligol  13 kg  Kiste;Eigenmarke;5,00;16,77;0;;1;beliebig;;;;;;1;28
G10070;G10070;Apfel LOBO  13 kg kiste;Eigenmarke;5,00;16,77;0;;1;beliebig;;;;;;1;28
G10071;G10071;Apfel LOBO  13 kg kiste Klein;Eigenmarke;5,00;16,77;0;;1;beliebig;;;;;;1;28
G10072;G10072;Apfel Paulored 13 kg;Eigenmarke;5,00;16,77;0;;1;beliebig;;;;;;1;28
G10073;G10073;Apfel Piros 12 kg kiste;Eigenmarke;5,00;16,77;0;;1;beliebig;;;;;;1;28
G10074;G10074;Apfel Prinz 13 kg Karton;Eigenmarke;5,00;16,77;0;;1;beliebig;;;;;;1;28
G10075;G10075;Apfel Redschif 13 kg;Eigenmarke;5,00;29,99;0;;1;beliebig;;;;;;1;28
G10076;G10076;ARO Folia Stretch 1,25 kg x 6 st kart;Aro;16,00;5,99;0;;1;beliebig;;;;;;1;28
G10077;G10077;Aro Kuchenrolle  2 pack x8st;Aro;16,00;6,79;0;;1;beliebig;;;;;;1;28
G10078;G10078;Aro Papier Voletta Tualetowy 2 w  8 rol Pack x 10st;Aro;16,00;15,9;0;;1;beliebig;;;;;;1;23
G10079;G10079;ARO Recznik Papirowe 32 st Pack;Aro;16,00;8,99;0;;1;beliebig;;;;;;1;23
G10080;G10080;Aro Rolle Kuchenny 4 st pack 10st;Aro;16,00;17,9;0;;1;beliebig;;;;;;1;23
G10081;G10081;Artur Krakersy Mix 90g x 24St.;Eigenmarke;5,00;0,27;0;;1;beliebig;;;;;;1;23
G10082;G10082;As Babuni Makaroni 400 gr x 10 st;Eigenmarke;5,00;0,49;0;;1;beliebig;;;;;;1;23
G10083;G10083;Asorti Dobosz 380 gr x 16 st;Eigenmarke;5,00;1,79;0;;1;beliebig;;;;;;1;56
G10084;G10084;Babci Cosi Makaron Domowy 2jajeczny Nitka 1kg x 12St.;Eigenmarke;5,00;12,84;0;;1;beliebig;;;;;;1;66
G10085;G10085;Babecki Gellwe 230g/6 st wytrawne z Ziolami;Eigenmarke;5,00;8,94;0;;1;beliebig;;;;;;1;24
G10086;G10086;Babeczki 360g x 7st Browne Karamel i Schokolad DELECTA;Eigenmarke;5,00;11,13;0;;1;beliebig;;;;;;1;24
G10087;G10087;Babeczki 360g x 7st Browne Macno DELECTA;Eigenmarke;5,00;11,13;0;;1;beliebig;;;;;;1;24
G10088;G10088;Babeczki Gellwe 340g/6st pelno ziarniste z Zurawina;Eigenmarke;5,00;11,94;0;;1;beliebig;;;;;;1;24
G10089;G10089;Babeczki Nadziwane 315 gr x 7 st DELECTA;Eigenmarke;5,00;11,13;0;;1;beliebig;;;;;;1;24
G10090;G10090;Babi Sosi Makaron Domowy 2 jajeczny Fawierek 400g x 24St.;Eigenmarke;5,00;25,68;0;;1;beliebig;;;;;;1;66
G10091;G10091;Babkini 300grx12st Sonnenblumenkerne;Babkiny;5,00;15,48;0;;1;beliebig;;;;;;1;25
G10092;G10092;Babkini Sonnenblumenkerne 500g x 8stk. Semechki;Babkiny;5,00;15,12;0;;1;beliebig;;;;;;1;25
G10093;G10093;Babkiny Semechki solenye 300g x 10st.;Babkiny;5,00;12,9;0;;1;beliebig;;;;;;1;25
G10094;G10094;Babkiny Semechki XXL Krupnyj razmer 250g x 15st.;Babkiny;5,00;24,75;0;;1;beliebig;;;;;;1;25
G10095;G10095;Babkiny Semechki Zharenye 300g x 12st.;Babkiny;5,00;15,48;0;;1;beliebig;;;;;;1;25
G10096;G10096;Bakaland  400ml x 6 st;Bakaland ;5,00;7,14;0;;1;beliebig;;;;;;1;39
G10097;G10097;Bakaland Maka Massowa850 gr x 6 st;Bakaland ;5,00;15,92;0;;1;beliebig;;;;;;1;39
G10098;G10098;Bakalland Apfelmus 810g x 12stk;Bakaland ;5,00;19,08;0;;1;beliebig;;;;;;1;39
G10099;G10099;Bakal Zurawina suszona 150g x 18stk;Bakaland ;5,00;32,4;0;;1;beliebig;;;;;;1;28
G10100;G10100;Bakolland Masa Makowa 6St. x 850gr;Bakaland ;5,00;11,94;0;;1;beliebig;;;;;;1;39
G10101;G10101;Balcerzak MINIATURKA NA Ciemno ;Eigenmarke;5,00;95,88;0;;1;beliebig;;;;;;1;38
G10102;G10102;Bambino 235gr x 12 st Dr Gerard Smietanko-Wisnjowe;Dr Gerard;5,00;23,8;0;;1;beliebig;;;;;;1;56
G10103;G10103;Barbetki Ryz 20St. x 50g;Eigenmarke;5,00;7,8;0;;1;beliebig;;;;;;1;20
G10104;G10104;Barsch Belij Sok  500 ml 10 st Wijski;Eigenmarke;5,00;11,9;0;;1;beliebig;;;;;;1;52
G10105;G10105;Barszcz Czerwony INSTANT 170g x 10St. NESTLE;Eigenmarke;5,00;11,9;0;;1;beliebig;;;;;;1;52
G10106;G10106;Basmati Reiz AKASH 8 st x 1 kg;Eigenmarke;5,00;103,2;0;;1;beliebig;;;;;;1;20
G10107;G10107;Basmati AKASH Reiz Indien 5 kg x 4st;Eigenmarke;5,00;46;0;;1;beliebig;;;;;;1;20
G10108;G10108;bell kilbasa Szynkowa parzona 250;Eigenmarke;5,00;1,09;0;;1;beliebig;;;;;;1;38
G10109;G10109;Bell Szynka konserwowa 200g;Eigenmarke;5,00;0,99;0;;1;beliebig;;;;;;1;38
G10110;G10110;Berlinki 250 gr Morlyny 16stk;Eigenmarke;5,00;22,24;0;;1;beliebig;;;;;;1;38
G10111;G10111;Bier Debowe Stark Bier 0,5 l x 20 xt;Debowe;16,00;299,8;0;;1;beliebig;;;;;;1;70
G10112;G10112;Bierwurst (Kielbasa Piwna);Eigenmarke;5,00;4,79;0;;1;beliebig;;;;;;1;38
G10113;G10113;Biesiadna Wurst Dobra Marka;Eigenmarke;5,00;3,99;0;;1;beliebig;;;;;;1;38
G10114;G10114;Bigos Pomapol 590ml  x 8st;Eigenmarke;5,00;13,52;0;;1;beliebig;;;;;;1;53
G10115;G10115;BIgos Profi 500mlx 8st Saurkreit mit Fleisch;Eigenmarke;5,00;14,32;0;;1;beliebig;;;;;;1;53
G10116;G10116;Bim Bom 1 kg Roszen;Eigenmarke;5,00;23,92;0;;1;beliebig;;;;;;1;56
G10117;G10117;Bin Bon Karamel 1 kg;Eigenmarke;5,00;18,32;0;;1;beliebig;;;;;;1;56
G10118;G10118;Birne Konferenz  Frisch 6 kg kiste;Eigenmarke;5,00;5,94;0;;1;beliebig;;;;;;1;28
G10119;G10119;Birne Patten Frisch 6 kg kiste;Eigenmarke;5,00;0,69;0;;1;beliebig;;;;;;1;28
G10120;G10120;Biskopty 140gr /18st Eurosnack;Eigenmarke;5,00;25,02;0;;1;beliebig;;;;;;1;56
G10121;G10121;"Biszkopt w proszku Emix"" 5St. x 300gr""";Eigenmarke;5,00;6,95;0;;1;beliebig;;;;;;1;24
G10122;G10122;Biszkopty Morelowe 205gr x 8st Dr Gerard;Eigenmarke;5,00;4,95;0;;1;beliebig;;;;;;1;24
G10123;G10123;Bita Smietana 25 st x 50 g;Eigenmarke;5,00;4,72;0;;1;beliebig;;;;;;1;30
G10124;G10124;Boczek Borowiaka Kier wedzona;Eigenmarke;5,00;7,99;0;;1;beliebig;;;;;;1;38
G10125;G10125;Boczek Borowiaka Kier wedzona GROSSE;Eigenmarke;5,00;7,99;0;;1;beliebig;;;;;;1;38
G10126;G10126;Boczek Ciety Parzony  SZAJ;Eigenmarke;5,00;3,99;0;;1;beliebig;;;;;;1;38
G10127;G10127;Boczek domowy Upeszony;Eigenmarke;5,00;7,99;0;;1;beliebig;;;;;;1;38
G10128;G10128;Boczek Gotowane Unimies;Eigenmarke;5,00;7,99;0;;1;beliebig;;;;;;1;38
G10129;G10129;Boczek Map Lux;Eigenmarke;5,00;7,79;0;;1;beliebig;;;;;;1;38
