ordernumber;image;main;description;position;width;height;relations
G10501;http://shopware.p562114.webspaceconfig.de/media/image/17/aa/a1/gellwe-sernik-na-zimno_z1.jpg;1;;1;0;0;
G10502;http://shopware.p562114.webspaceconfig.de/media/image/d6/21/83/gellwekremowkipapieskie390g.png;1;;1;0;0;
G10495;http://shopware.p562114.webspaceconfig.de/media/image/0e/g0/ab/07104_gellwebabkacytrynowazlukrem455gx6st.jpg;1;;1;0;0;
G11706;http://shopware.p562114.webspaceconfig.de/media/image/46/9d/be/gellwe-soda.png;1;;1;0;0;
G12192;http://shopware.p562114.webspaceconfig.de/media/image/69/48/e2/Zelatyna-50g-x-20St-Gellwe-Gelatine.jpg;1;;1;0;0;
G10765;http://shopware.p562114.webspaceconfig.de/media/image/20/c9/ce/Karpatka-Gellwe-340-g.jpg;1;;1;0;0;
G10500;http://shopware.p562114.webspaceconfig.de/media/image/b3/e2/a6/Gellwe-Prszek-do-Pieszenja-30gr-x-75st.png;1;;1;0;0;
G10499;http://shopware.p562114.webspaceconfig.de/media/image/b3/e2/a6/Gellwe-Prszek-do-Pieszenja-30gr-x-75st.png;1;;1;0;0;
G10498;http://shopware.p562114.webspaceconfig.de/media/image/b3/e2/a6/Gellwe-Prszek-do-Pieszenja-30gr-x-75st.png;1;;1;0;0;
G10496;http://shopware.p562114.webspaceconfig.de/media/image/a4/2c/c9/Gellwe-ciasto-i-krem-do-Korpatki-340gr.jpg;1;;1;0;0;
G10494;http://shopware.p562114.webspaceconfig.de/media/image/9c/f9/8f/Gellwe-Babka-Cytrynowa.jpg;1;;1;0;0;
G10493;http://shopware.p562114.webspaceconfig.de/media/image/dd/43/86/Gellwe-Babezki-Schokoladowe.jpg;1;;1;0;0;
G10088;http://shopware.p562114.webspaceconfig.de/media/image/57/a4/87/Gellwee-pelno-ziarniste-z-Zurawina.png;1;;1;0;0;
G10085;http://shopware.p562114.webspaceconfig.de/media/image/da/c3/d7/Babecki-Gellwe-230g-wytrawne-z-Ziolami.png;1;;1;0;0;
G10205;http://shopware.p562114.webspaceconfig.de/media/image/81/4c/67/dawtonazurek11l.png;1;;1;0;0;
G10197;http://shopware.p562114.webspaceconfig.de/media/image/e5/b0/94/dawtonabarszczczerwony11l.png;1;;1;0;0;
G10196;http://shopware.p562114.webspaceconfig.de/media/image/2f/53/cf/Dawtona-Apfelmus.jpg;1;;1;0;0;
G11912;http://shopware.p562114.webspaceconfig.de/media/image/33/d6/1b/dawtonapomidorowysok330ml.png;1;;1;0;0;
G10198;http://shopware.p562114.webspaceconfig.de/media/image/58/e2/20/Dawtona-Fasola-Biala-konserwowa-400g.jpg;1;;1;0;0;
