ordernumber;mainnumber;name;additionalText;supplier;tax;price_EK;pseudoprice_EK;baseprice_EK;from_EK;to_EK;price_H;pseudoprice_H;baseprice_H;from_H;to_H;active;instock;stockmin;description;description_long;shippingtime;added;changed;releasedate;shippingfree;topseller;keywords;minpurchase;purchasesteps;maxpurchase;purchaseunit;referenceunit;packunit;unitID;pricegroupID;pricegroupActive;laststock;suppliernumber;weight;width;height;length;ean;similar;configuratorsetID;configuratortype;configuratorOptions;categories;metatitle
G10064;G10064;Apfel Alwa 13 kg;;Eigenmarke;5,00;16,77;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;13,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;51;
G10065;G10065;Apfel Antonowka 15 kg kiste;;Eigenmarke;5,00;16,77;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;13,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;28;
G10066;G10066;Apfel Delikates 13 kg;;Eigenmarke;5,00;16,77;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;13,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;28;
G10067;G10067;Apfel GALA 13 kg kiste;;Eigenmarke;5,00;16,77;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;13,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;28;
G10068;G10068;Apfel Kortland  13 kg;;Eigenmarke;5,00;16,77;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;13,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;28;
G10069;G10069;Apfel Ligol  13 kg  Kiste;;Eigenmarke;5,00;16,77;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;13,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;28;
G10070;G10070;Apfel LOBO  13 kg kiste;;Eigenmarke;5,00;16,77;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;13,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;28;
G10071;G10071;Apfel LOBO  13 kg kiste Klein;;Eigenmarke;5,00;16,77;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;13,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;28;
G10072;G10072;Apfel Paulored 13 kg;;Eigenmarke;5,00;16,77;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;13,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;28;
G10073;G10073;Apfel Piros 12 kg kiste;;Eigenmarke;5,00;16,77;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;;13,0000;1,000;KTN;9;;0;0;;0,000;;;;;;;;;28;
