ordernumber;mainnumber;name;additionalText;supplier;tax;price_EK;pseudoprice_EK;baseprice_EK;from_EK;to_EK;price_H;pseudoprice_H;baseprice_H;from_H;to_H;active;instock;stockmin;description;description_long;shippingtime;added;changed;releasedate;shippingfree;topseller;keywords;minpurchase;purchasesteps;maxpurchase;purchaseunit;referenceunit;packunit;unitID;pricegroupID;pricegroupActive;laststock;suppliernumber;weight;width;height;length;ean;similar;configuratorsetID;configuratortype;configuratorOptions;categories;propertyGroupName;propertyValueName;accessory;imageUrl;main;attr1;attr2;attr3;purchasePrice;metatitle;;;;;;;;;;;
G10984;G10984;Lizak I Love You 50St.x 20 gr;;Eigenmarke;5;7,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;50;50;500;1;50;St;4;;0;0;;0;;;;;;;;;56;;;;;;;;;;;;;;;;;;20;13,8;;0
G10985;G10985;Lizaki Warmii i Mazur 33St. x 20gr.;;Eigenmarke;5;0,27;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;33;33;1000;33;1;KTN;9;;0;0;;0;;;;;;;;;56;;;;;;;;;;;;;;;;;;20;13,8;;0
G10986;G10986;Lizak Kojak 20gr  x 50st;;Eigenmarke;16;7,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;20;20;500;1;20;St;4;;0;0;;0;;;;;;;;;56;;;;;;;;;;;;;;;;;;6;11,94;;0
G10987;G10987;Lizak Love 12 gr/80st/Astra;;Eigenmarke;5;6,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;80;80;500;1;80;St;4;;0;0;;0;;;;;;;;;56;;;;;;;;;;;;;;;;;;12;14,28;;0
G10988;G10988;Lizak LOVE 12 gr x 50st ASTRA;;Eigenmarke;5;9,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;50;50;500;1;50;St;4;;0;0;;0;;;;;;;;;56;;;;;;;;;;;;;;;;;;6;23,34;;0
G10989;G10989;Lizak  Mikolaj 70g/15st/Gandy;;Eigenmarke;5;10,9;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;;500;15;1;KTN;9;;0;0;;0;;;;;;;;;56;;;;;;;;;;;;;;;;;;8;26,32;;0
G10990;G10990;Lizak Renifer 35 gr/12st /Gandy;;Eigenmarke;5;8,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-31 17:37:07;;0;0;;1;;500;12;1;KTN;9;;0;0;;0;;;;;;;;;56;;;;;;;;;;;;;;;;;;12;10,68;;0
G10991;G10991;Lopatka Pieszona KIER;;Eigenmarke;5;7,99;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;1;1;500;1;1;kg;4;;0;0;;0;;;;;;;;;38;;;;;;;;;;;;;;;;;;12;17,88;;0
G10992;G10992;Losos Paprykarz Szczecinski  24 St. x 310g;;Eigenmarke;5;0,89;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;24;24;500;1;24;St;4;;0;0;;0;;;;;;;;;39;;;;;;;;;;;;;;;;;;6;7,14;;0
G10993;G10993;Losos Paprykarz Szczecinski 8St x 170g;;Eigenmarke;5;0,75;0;;1;beliebig;;;;;;1;10000;0;;;3 – 5 ;2020-08-11;2020-08-28 16:31:32;;0;0;;8;8;500;1;8;St;4;;0;0;;0;;;;;;;;;39;;;;;;;;;;;;;;;;;;8;10,8;;0
